country_code,country,latte_Index,rGDP_capita
EUR,Andorra,3.28,40227.20
ARS,Argentina,4.67,12933.20
AWG,Aruba,2.22,31178.50
AUD,Australia,3.97,61583.90
EUR,Austria,3.48,46339.00
AZN,Azerbaijan,3.41,5651.30
BHD,Bahrain,4.24,25076.70
EUR,Belgium,3.52,44731.00
BOB,Bolivia,3.19,3226.10
BRL,Brazil,1.96,9258.10
BGN,Bulgaria,2.69,9819.60
KHR,Cambodia,3.25,2083.60
CLP,Chile,4.95,14226.50
CNY,China,4.23,12175.20
COP,Colombia,2.5,6819.20
CRC,Costa Rica,4.22,14318.80
EUR,Cyprus,2.97,32341.30
DKK,Denmark,6.55,61296.00
EGP,Egypt,2.23,4111.20
USD,El Salvador,4.25,4481.20
EUR,Finland,5.67,45588.50
EUR,France,5.36,39117.50
EUR,Germany,4.49,44336.80
GTQ,Guatemala,3.23,4470.80
HKD,Hong Kong/Macau,5.52,43573.00
HUF,Hungary,3.34,16282.80
INR,India,3.56,2236.30
IDR,Indonesia,3.08,4192.60
EUR,Ireland,4.39,91647.80
EUR,Italy,2.84,34088.10
JOD,Jordan,3.53,3950.30
KWD,Kuwait,4.3,24155.20
EUR,Luxembourg,5.51,106342.80
MYR,Malaysia,3.04,11429.60
EUR,Monaco,4.8,224582.40
MAD,Morocco,2.81,3403.30
EUR,Netherlands,4.44,51305.60
NZD,New Zealand,3.34,41766.90
NOK,Norway,5.08,78912.30
OMR,Oman,4.09,18098.60
PAB,Panama,4.7,16872.90
PEN,Peru,2.49,6552.60
PHP,Philippines,3.26,3745.70
USD,Puerto Rico,4.05,30122.80
QAR,Qatar,4.12,65111.00
RON,Romania,3.29,12399.00
RUB,Russia,2.91,10420.60
SAR,Saudi Arabia,4.27,23331.80
SGD,Singapore,4.9,65422.50
ZAR,South Africa,2.64,5747.40
KRW,South Korea,4.11,34121.00
EUR,Spain,3.95,28569.80
SEK,Sweden,4.83,54449.80
CHF,Switzerland,7.17,89555.60
TTD,Trinidad and Tobago,3.39,16061.90
AED,UAE-Dubai,4.29,42508.00
GBP,United Kingdom,5.31,47322.70
USD,United States,3.26,65875.20
UYU,Uruguay,4.42,18295.90
VND,Vietnam,3.42,3760.40
